id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;Nbobs_maille;NBobs_commune
473;51080;Brandonvillers;51;44;200042992;epci;6,788085472;5,330436329;8,644340074;0,678560291;1341;1
547;51081;Branscourt;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;7
652;51082;Braux-Sainte-Cohière;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;4
652;51083;Braux-Saint-Remy;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;4
404;51084;Bréban;51;44;200034718;epci;6,681649896;5,407255963;8,256395784;0,685227424;778;0
699;51085;Le Breuil;51;44;200066850;maille;6,314238631;4,931864513;8,084084505;0,668166975;709;16
547;51086;Breuil;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;0
404;51087;Breuvery-sur-Coole;51;44;200043438;epci;7,541591556;6,104887475;9,316404837;0,685227424;778;1
426;51088;Brimont;51;44;200067213;epci;8,854482439;6,771788671;11,57771795;0,684356494;1031;17
547;51089;Brouillet;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;4
527;51090;Broussy-le-Grand;51;44;245100979;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;18
527;51091;Broussy-le-Petit;51;44;200066835;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;9
846;51092;Broyes;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;16
527;51093;Brugny-Vaudancourt;51;44;200067684;epci;7,45353412;5,58816238;9,941581345;0,697167871;747;3
473;51094;Brusson;51;44;200067379;epci;6,084530183;4,769617474;7,761944801;0,678560291;1341;0
473;51095;Le Buisson;51;44;200067379;epci;6,084530183;4,769617474;7,761944801;0,678560291;1341;10
404;51097;Bussy-le-Château;51;44;200042620;maille;6,892734505;5,576410062;8,519780367;0,685227424;778;2
652;51098;Bussy-le-Repos;51;44;200067379;maille;5,970056312;4,422939156;8,058345619;0,50122813;541;4
527;51099;Bussy-Lettrée;51;44;200066876;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;7
699;51100;La Caure;51;44;200066850;maille;6,314238631;4,931864513;8,084084505;0,668166975;709;0
878;51101;Caurel;51;44;200067213;epci;9,532566779;7,221875923;12,5825797;0,702642767;1166;7
394;51102;Cauroy-lès-Hermonville;51;44;200067213;epci;7,910840226;6,376654466;9,814142105;0,731445511;734;14
817;51103;La Celle-sous-Chantemerle;51;44;200066835;maille;6,799559219;5,412561474;8,541982534;0,779846742;632;0
652;51104;Cernay-en-Dormois;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;0
878;51105;Cernay-lès-Reims;51;44;200067213;epci;9,532566779;7,221875923;12,5825797;0,702642767;1166;21
527;51106;Cernon;51;44;200043438;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;0
404;51107;Chaintrix-Bierges;51;44;200067684;maille;6,892734505;5,576410062;8,519780367;0,685227424;778;8
