id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;NBobs_maille;NBobs_commune
2085;41150;Mont-près-Chambord;41;24;244100798;epci;8,560025212;6,653463488;11,01291557;0,73546644;889;58
86;41151;Montrichard Val de Cher;41;24;200072064;commune;7,697932335;5,796262047;10,22351332;0,484663957;625;625
1739;41152;Montrieux-en-Sologne;41;24;244100780;maille;8,2057485;6,135425468;10,9746763;0,663708138;773;0
2085;41153;Montrouveau;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
2085;41154;Morée;41;24;200040772;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;18
1765;41155;Muides-sur-Loire;41;24;200055481;epci;8,615249498;6,721833239;11,04200614;0,649041471;1061;8
1765;41156;Mulsans;41;24;200055481;epci;8,615249498;6,721833239;11,04200614;0,649041471;1061;1
1659;41157;Mur-de-Sologne;41;24;200018406;maille;8,002282524;6,380442996;10,0363761;0,70592345;662;12
1865;41158;Naveil;41;24;200072072;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;13
1739;41159;Neung-sur-Beuvron;41;24;244100780;maille;8,2057485;6,135425468;10,9746763;0,663708138;773;51
2085;41160;Neuvy;41;24;244100798;epci;8,560025212;6,653463488;11,01291557;0,73546644;889;2
1739;41161;Nouan-le-Fuzelier;41;24;200000800;maille;8,2057485;6,135425468;10,9746763;0,663708138;773;59
2085;41163;Nourray;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;1
1679;41164;Noyers-sur-Cher;41;24;200072064;maille;6,571039261;4,978997184;8,672139262;0,634198874;1126;50
1865;41165;Oigny;41;24;244100293;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
2085;41166;Oisly;41;24;200072064;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;0
2085;41167;Veuzain-sur-Loire;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;112
1837;41168;Orçay;41;24;244100806;maille;7,720676943;5,90728981;10,09072762;0,669141588;745;2
2085;41170;Ouchamps;41;24;200072064;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;2
2085;41171;Oucques La Nouvelle;41;24;200055481;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;31
1765;41172;Ouzouer-le-Doyen;41;24;200040772;maille;8,323712707;6,489528322;10,67630647;0,649041471;1061;0
1765;41173;Beauce la Romaine;41;24;200070183;epci;9,131105996;7,114684747;11,71901492;0,649041471;1061;3
2085;41174;Périgny;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
2085;41175;Pezou;41;24;200040772;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;4
1739;41176;Pierrefitte-sur-Sauldre;41;24;244100806;maille;8,2057485;6,135425468;10,9746763;0,663708138;773;0
1865;41177;Le Plessis-Dorin;41;24;244100293;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1765;41178;Le Plessis-l'Échelle;41;24;200055481;epci;8,615249498;6,721833239;11,04200614;0,649041471;1061;0
1865;41179;Le Poislay;41;24;200040772;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1659;41180;Pontlevoy;41;24;200072064;maille;8,002282524;6,380442996;10,0363761;0,70592345;662;66
1761;41181;Pouillé;41;24;200072064;maille;9,684729037;7,625573644;12,29992403;0,737296184;1254;2
2085;41182;Pray;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
2085;41184;Prunay-Cassereau;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
1659;41185;Pruniers-en-Sologne;41;24;200018406;maille;8,002282524;6,380442996;10,0363761;0,70592345;662;7
2085;41186;Rahart;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
2085;41187;Renay;41;24;200040772;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;0
2085;41188;Rhodon;41;24;200055481;maille;8,134000352;6,325133685;10,46016812;0,73546644;889;0
2085;41189;Rilly-sur-Loire;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;2
2085;41190;Rocé;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;1
1765;41191;Roches;41;24;200055481;epci;8,615249498;6,721833239;11,04200614;0,649041471;1061;0
1865;41192;Les Roches-l'Évêque;41;24;200072072;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1865;41193;Romilly;41;24;200040772;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1327;41194;Romorantin-Lanthenay;41;24;200018406;commune;7,600725687;5,588052259;10,33831258;0,555996156;1161;1161
1659;41195;Rougeou;41;24;200072064;maille;8,002282524;6,380442996;10,0363761;0,70592345;662;0
1765;41196;Ruan-sur-Egvonne;41;24;200040772;maille;8,323712707;6,489528322;10,67630647;0,649041471;1061;0
1865;41197;Saint-Agil;41;24;244100293;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1679;41198;Saint-Aignan;41;24;200072064;commune;6,963095985;5,24615753;9,241946208;0,634198874;1126;242
2085;41199;Saint-Amand-Longpré;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;10
2085;41200;Sainte-Anne;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
2085;41201;Saint-Arnoult;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
1865;41202;Saint-Avit;41;24;244100293;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
2085;41203;Saint-Bohaire;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;0
1765;41204;Saint-Claude-de-Diray;41;24;244100798;maille;8,323712707;6,489528322;10,67630647;0,649041471;1061;18
2085;41205;Saint-Cyr-du-Gault;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;9
2222;41206;Saint-Denis-sur-Loire;41;24;200030385;maille;9,424133891;7,963719992;11,15236343;0,816294671;906;12
1765;41207;Saint-Dyé-sur-Loire;41;24;244100798;maille;8,323712707;6,489528322;10,67630647;0,649041471;1061;10
2085;41208;Saint-Étienne-des-Guérets;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;1
2085;41209;Saint-Firmin-des-Prés;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
1761;41211;Saint-Georges-sur-Cher;41;24;200072064;maille;9,684729037;7,625573644;12,29992403;0,737296184;1254;51
2085;41212;Saint-Gervais-la-Forêt;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;120
2085;41213;Saint-Gourgon;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;0
1765;41214;Saint-Hilaire-la-Gravelle;41;24;200040772;maille;8,323712707;6,489528322;10,67630647;0,649041471;1061;0
1865;41215;Saint-Jacques-des-Guérets;41;24;200072072;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1765;41216;Saint-Jean-Froidmentel;41;24;200040772;maille;8,323712707;6,489528322;10,67630647;0,649041471;1061;4
1761;41217;Saint-Julien-de-Chédon;41;24;200072064;maille;9,684729037;7,625573644;12,29992403;0,737296184;1254;9
1888;41218;Saint-Julien-sur-Cher;41;24;200018406;maille;8,003825895;5,879962397;10,8948365;0,529236767;802;0
1765;41219;Saint-Laurent-des-Bois;41;24;200070183;epci;9,131105996;7,114684747;11,71901492;0,649041471;1061;4
2365;41220;Saint-Laurent-Nouan;41;24;244100798;maille;8,606466317;7,080447956;10,46138082;0,772996549;536;73
1765;41221;Saint-Léonard-en-Beauce;41;24;200055481;epci;8,615249498;6,721833239;11,04200614;0,649041471;1061;1
1888;41222;Saint-Loup;41;24;200018406;maille;8,003825895;5,879962397;10,8948365;0,529236767;802;0
2085;41223;Saint-Lubin-en-Vergonnois;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;1
1865;41224;Saint-Marc-du-Cor;41;24;244100293;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;5
2085;41225;Saint-Martin-des-Bois;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;5
2085;41226;Saint-Ouen;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;31
1865;41228;Saint-Rimay;41;24;200072072;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;0
1659;41229;Saint-Romain-sur-Cher;41;24;200072064;maille;8,002282524;6,380442996;10,0363761;0,70592345;662;2
2085;41230;Saint-Sulpice-de-Pommeray;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;18
1739;41231;Saint-Viâtre;41;24;244100780;maille;8,2057485;6,135425468;10,9746763;0,663708138;773;15
1739;41232;Salbris;41;24;244100806;commune;7,851016835;5,874848826;10,49192365;0,663708138;773;157
2085;41233;Sambin;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;5
2085;41234;Santenay;41;24;200030385;epci;8,833188609;6,873496627;11,35160534;0,73546644;889;1
1865;41235;Sargé-sur-Braye;41;24;244100293;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;9
1865;41236;Sasnières;41;24;200072072;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;3
1659;41237;Sassay;41;24;200072064;maille;8,002282524;6,380442996;10,0363761;0,70592345;662;0
1865;41238;Savigny-sur-Braye;41;24;200072072;maille;7,241383737;5,570669617;9,413166106;0,695268671;922;74
1679;41239;Seigy;41;24;200072064;maille;6,571039261;4,978997184;8,672139262;0,634198874;1126;3
1739;41241;Selles-Saint-Denis;41;24;244100806;maille;8,2057485;6,135425468;10,9746763;0,663708138;773;5
1679;41242;Selles-sur-Cher;41;24;200072064;commune;7,332813867;5,531764841;9,720253978;0,634198874;1126;241
2085;41243;Selommes;41;24;200072072;epci;8,308713173;6,454308265;10,69591221;0,73546644;889;1
